File Name,Duration (ss),Fundamental Frequency (Hz),Mean Pitch (Hz),Pitch Sigma (Hz),Minimum Pitch (Hz),Maximum Pitch (Hz),No. of Pulses,No. of periods,Mean Period (ss),Standard Deviation of Period (ss),Fraction of Locally unvoiced frames (%),No. of voice breaks,Degree of voice breaks,Mean auto - correlation,Mean noise-to-harmonics ratio,Mean harmonics-to-noice ratio (dB),Peak Amplitude Channel 1  (dB),Peak Amplitude Channel 2  (dB),Bit Rate (kbs),Sample Rate (Hz),Resolution (bits),No of Samples,Size on memory  (kB),Size on disk (MB),Channels,Source
speaker2_10,60.03497917,298.213764,298.214,69.84,79.803,540.827,11734,11462,3.36E-03,8.96E-04,28.43%,172,34.49%,0.852633,0.208782,9.555,-1.34,-0.02,1536,48000,16,2880000,307.46,1.37,stereo,htt://en.m.wikipedia.org/wiki/Rani_of_Jhansi
speaker2_11,60.03497917,296.029857,296.03,69.192,76.183,587.184,11738,11469,3.39E-03,8.82E-04,28.75%,180,33.72%,0.860205,0.19692,9.745,-0.92,-,1536,48000,16,2880000,307.46,1.37,stereo,htt://en.m.wikipedia.org/wiki/Rani_of_Jhansi
speaker2_12,60.03497917,294.382406,294.382,72.032,77.334,589.834,10651,10398,3.41E-03,9.62E-04,34.35%,162,39.39%,0.846521,0.218823,9.257,-1.85,-,1536,48000,16,2880000,307.46,1.37,stereo,htt://en.m.wikipedia.org/wiki/Rani_of_Jhansi
speaker2_13,60.03497917,302.103611,302.104,76.25,72.335,588.893,11499,11241,3.33E-03,9.65E-04,31.75%,177,36.58%,0.873191,0.177602,10.581,-4.52,-,1536,48000,16,2880000,307.46,1.37,stereo,htt://en.m.wikipedia.org/wiki/Rani_of_Jhansi
speaker2_14,60.03497917,303.752905,303.753,72.616,81.314,593.06,11990,11771,3.31E-03,8.30E-04,30.67%,149,34.22%,0.877316,0.171692,10.954,-6.61,-0.09,1536,48000,16,2880000,307.46,1.37,stereo,htt://en.m.wikipedia.org/wiki/Rani_of_Jhansi
speaker2_15,60.03497917,300.787079,300.787,68.053,79.729,588.974,12251,12015,3.34E-03,8.36E-04,28.15%,158,32.18%,0.883062,0.161002,11.181,-4.78,-,1536,48000,16,2880000,307.46,1.37,stereo,htt://en.m.wikipedia.org/wiki/Rani_of_Jhansi
speaker2_16,60.03497917,311.455529,311.456,64.874,78.846,565.058,12093,11864,3.23E-03,6.92E-04,31.00%,160,35.27%,0.88455,0.158177,11.243,-3.77,-,1536,48000,16,2880000,307.46,1.37,stereo,htt://en.m.wikipedia.org/wiki/Rani_of_Jhansi
speaker2_17,60.03497917,309.145248,309.145,67.991,83.848,591.841,11809,11567,3.25E-03,7.88E-04,32.32%,179,36.53%,0.868479,0.186933,10.47,-3.39,-0.11,1536,48000,16,2880000,307.46,1.37,stereo,htt://en.m.wikipedia.org/wiki/Rani_of_Jhansi
speaker2_18,60.03497917,304.835991,304.836,65.004,80.897,572.138,12233,11984,3.30E-03,7.51E-04,28.65%,164,32.68%,0.877944,0.168743,10.89,-7.33,-,1536,48000,16,2880000,307.46,1.37,stereo,htt://en.m.wikipedia.org/wiki/Rani_of_Jhansi
speaker2_19,60.03497917,297.065116,297.065,70.038,75.383,531.19,11787,11516,3.38E-03,9.07E-04,28.67%,180,33.45%,0.854172,0.204526,9.524,-5.39,-5.39,1536,48000,16,2880000,307.46,1.37,stereo,htt://en.m.wikipedia.org/wiki/Rani_of_Jhansi
speaker2_20,0.898979167,287.859696,287.86,35.131,239.657,377.191,177,173,3.50E-03,4.28E-04,27.91%,1,11.65%,0.878048,0.162425,10.645,-15.21,-5.22,1536,48000,16,40960,307.46,21.6,stereo,htt://en.m.wikipedia.org/wiki/Rani_of_Jhansi
speaker2_21,60.65897917,309.165685,309.166,56.372,74.111,574.66,12753,12477,3.25E-03,6.73E-04,26.23%,146,31.47%,0.82873,0.252652,8.254,-5.34,-,1536,48000,16,2909184,307.46,1.39,stereo,htt://en.m.wikipedia.org/wiki/Rani_of_Jhansi
speaker2_22,60.03497917,313.068578,313.069,62.306,105.122,558.161,13065,12748,3.21E-03,6.51E-04,24.55%,149,28.78%,0.826805,0.254702,8.126,-1.64,-3.87,1536,48000,16,2880000,323.53,1.37,stereo,htt://en.m.wikipedia.org/wiki/Coimbatore
speaker2_23,60.03497917,315.217215,315.217,68.27,89.712,579.126,12826,12553,3.17E-03,7.29E-04,26.83%,142,31.97%,0.830288,0.247036,8.326,-0.38,-3.4,1536,48000,16,2880000,307.46,1.37,stereo,htt://en.m.wikipedia.org/wiki/Kumari_Kandam
speaker2_24,60.03497917,316.28388,316.284,69.208,71.134,579.375,13006,12691,3.17E-03,8.07E-04,25.33%,160,31.21%,0.815908,0.270096,7.724,-,-2.91,1536,48000,16,2880000,307.46,1.37,stereo,htt://en.m.wikipedia.org/wiki/Kumari_Kandam
speaker2_25,60.03497917,318.258835,318.259,72.516,76.432,593.663,13829,13472,3.16E-03,8.18E-04,20.83%,155,26.98%,0.803215,0.299311,7.377,-1,-1.93,1536,48000,16,2880000,307.46,1.37,stereo,htt://en.m.wikipedia.org/wiki/Kumari_Kandam
speaker2_26,1.090979167,325.4687,325.469,52.528,262.356,450.646,300,292,3.09E-03,4.67E-04,10.38%,2,10.57%,0.823002,0.262669,7.921,-1.63,-8.58,1559,48000,16,50176,307.46,26.1,stereo,htt://en.m.wikipedia.org/wiki/Kumari_Kandam
speaker2_27,60.22697917,311.082446,311.082,68.946,71.795,539.424,12380,12072,3.22E-03,8.57E-04,26.73%,157,32.32%,0.813064,0.276857,7.548,-1.54,-,1536,48000,16,2888704,307.46,1.38,stereo,htt://en.m.wikipedia.org/wiki/Kumari_Kandam
speaker2_28,61.37897917,310.948963,310.949,67.833,77.136,553.462,12705,12410,3.23E-03,8.08E-04,25.94%,165,32.68%,0.826723,0.250832,8.056,-7.29,-,1536,48000,16,2944000,307.46,1.41,stereo,htt://en.m.wikipedia.org/wiki/Kumari_Kandam
speaker2_29,60.03497917,309.491876,309.492,63.718,76.542,626.254,12853,12609,3.24E-03,7.58E-04,25.87%,145,29.59%,0.834236,0.238598,8.413,-4.66,-,1536,48000,16,2895872,307.46,1.38,stereo,htt://en.m.wikipedia.org/wiki/Kumari_Kandam
speaker2_30,60.97097917,313.052137,313.052,66.971,71.426,541.421,12946,12652,3.21E-03,7.59E-04,25.62%,151,30.04%,0.825719,0.259538,8.156,-7.39,-0.19,1536,48000,16,2924544,307.46,1.4,stereo,htt://en.m.wikipedia.org/wiki/Kumari_Kandam
